GeneID	RNA.seq_LADC55
MRPL43	985
TWNK	215
LZTS2	1165
PDZD7	77
SFXN3	2146
LOC107984262	16
KAZALD1	98
LBX1	0
LBX1-AS1	0
BTRC	777
POLL	616
DPCD	340
FBXW4	1044
LOC105378456	0
LOC105378455	0
FGF8	2
NPM3	443
OGA	4481
KCNIP2-AS1	4
KCNIP2	17
107984029	10
ARMH3	1287
LOC101927445	5
HPS6	521
LDB1	2167
PPRC1	1134
NOLC1	3271
ELOVL3	18
PITX3	1
GBF1	3431
LOC107984263	63
NFKB2	1149
PSD	69
FBXL15	262
CUEDC2	771
C10orf95-AS1	249
C10orf95	74
MFSD13A	844
ACTR1A	2607
SUFU	585
TRIM8	2672
LOC105378460	236
ARL3	673
SFXN2	737
WBP1L	1697
CYP17A1	7
CYP17A1-AS1	2
BORCS7-ASMT	177
BORCS7	656
AS3MT	65
LOC107984265	3
CNNM2	1570
NT5C2	3218
INA	18
PCGF6	279
TAF5	183
ATP5MK	414
MIR1307	37
PDCD11	1357
CALHM2	469
CALHM1	0
CALHM3	0
NEURL1	21
SH3PXD2A	3000
SH3PXD2A-AS1	3
STN1	1051
LOC102724351	5
SLK	4449
COL17A1	911
MIR936	20
SFR1	190
CFAP43	246
GSTO1	1991
GSTO2	384
ITPRIP	887
ITPRIP-AS1	2
CFAP58	39
CFAP58-DT	18
SORCS3	0
LOC105378469	0
SORCS1	6
LOC105378473	0
LOC101927573	12
XPNPEP1	1517
ADD3-AS1	55
ADD3	2041
MXI1	1109
LOC105378480	1
SMNDC1	1296
DUSP5	185
SMC3	2286
RBM20	13
PDCD4-AS1	41
PDCD4	1505
MIR4680	102
BBIP1	435
SHOC2	2199
RPL13AP6	0
ADRA2A	776
GPAM	413
101927600	2
ACSL5	9511
ZDHHC6	2768
VTI1A	547
105378487	3
112268058	46
LOC103344931	73
TCF7L2	846
107984269	24
LOC107984270	162
HABP2	1026
NRAP	146
CASP7	1518
PLEKHS1	1873
MIR4483	4
DCLRE1A	683
NHLRC2	1399
LOC105378493	1
ADRB1	167
CCDC186	2399
MIR2110	36
TDRD1	24
VWA2	1822
AFAP1L2	323
ABLIM1	2536
FHIP2A	1365
TRUB1	1195
ATRNL1	20
GFRA1	105
PNLIPRP3	0
C10orf82	0
LOC105378499	6
HSPA12A	82
MIR9851	6
ENO4	573
SHTN1	2021
LOC105378500	3
SLC18A2	513
PDZD8	1478
EMX2OS	0
EMX2	1
RAB11FIP2	945
CASC2	118
FAM204A	1060
CACUL1	1970
LOC107987151	3
NANOS1	120
EIF3A	9837
DENND10	1303
SFXN4	559
PRDX3	4238
GRK5	453
GRK5-IT1	2
LOC105378511	1
RGS10	1374
TIAL1	2468
LOC105378512	154
BAG3	1991
INPP5F	739
LOC105378513	20
MCMBP	2222
SEC23IP	2611
PLPP4	37
LINC01561	1
LOC105378516	16
WDR11-AS1	2
WDR11	2523
LOC105378519	136
105378518	5
LOC105378520	4
LOC105378521	5
LOC105378522	4
LOC105378523	1
FGFR2	646
ATE1	1200
ATE1-AS1	3
NSMCE4A	634
TACC2	2185
BTBD16	16
PLEKHA1	1721
LOC105378525	5
HTRA1	1471
105378526	2
DMBT1	2960
LOC112577516	0
FAM24B-CUZD1	25
CUZD1	11
FAM24B	38
C10orf88B	55
C10orf88	409
PSTK	79
IKZF5	734
ACADSB	771
BUB3	2975
LOC107984275	1
LINC02641	2
LOC105378532	1
CPXM2	293
LOC107984128	15
CHST15	4247
LOC105378536	3
OAT	6347
NKX1-2	2
LHPP	803
105378539	131
FAM53B	514
FAM53B-AS1	2
EEF1AKMT2	366
ABRAXAS2	892
ZRANB1	817
CTBP2	2967
LOC283038	29
107984277	7
EDRF1-DT	31
EDRF1	744
EDRF1-AS1	51
MMP21	4
UROS	914
BCCIP	1827
DHX32	1765
FANK1	279
ADAM12	317
LINC00601	1
LOC112267914	0
C10orf90	1
LOC728158	0
LOC105378550	15
DOCK1	2523
LOC107984059	0
LOC105378552	50
INSYN2A	25
FOXI2	0
CLRN3	4
PTPRE	3175
AS-PTPRE	14
MKI67	2195
LINC01163	0
LOC107984185	0
107984279	2
MGMT	598
LINC02666	9
LOC107984281	1
EBF3	5
LOC105378558	1
C10orf143	64
CTAGE7P	21
LOC102724883	8
LOC105378561	4
GLRX3	1872
LINC02646	2
TCERG1L	1
TCERG1L-AS1	2
LOC101927461	0
PPP2R2D	1513
BNIP3	1229
JAKMIP3	9
LOC105378567	1
DPYSL4	23
STK32C	189
LRRC27	258
PWWP2B	376
LOC105378568	3
LINC02870	7
105378570	0
LOC105378569	1
LOC107984282	6
INPP5A	282
NKX6-2	103
CFAP46	27
LOC105378571	1
LOC105378572	0
LINC01166	0
LINC01167	0
LINC01168	1
LOC112268067	16
ADGRA1	4
KNDC1	281
LOC105378573	0
UTF1	0
VENTX	51
ADAM8	1891
TUBGCP2	2419
ZNF511	290
CALY	6
PRAP1	1
FUOM	207
ECHS1	1799
PAOX	97
MTG1	549
SPRN	39
SCART1	67
105378576	6
LOC105378575	3
107984284	6
CYP2E1	32
SYCE1	0
SPRNP1	1
LINC01001	116
LOC112268070	15
388572	15
LOC101930129	4
BET1L	2100
RIC8A	2189
SIRT3	603
PSMD13	2880
NLRP6	13
PGGHG	728
IFITM5	0
IFITM2	2198
IFITM1	4523
IFITM3	10312
105376504	5
LOC105376505	7
B4GALNT4	55
PKP3	1037
SIGIRR	854
ANO9	637
LOC105376506	28
PTDSS2	451
RNH1	4464
LRRC56	119
101059906	6
HRAS	280
LMNTD2	138
LMNTD2-AS1	20
RASSF7	1424
MIR210HG	109
MIR210	1
LOC143666	10
PHRF1	1218
IRF7	1682
CDHR5	0
SCT	1
DRD4	1
DEAF1	468
TMEM80	268
EPS8L2	2791
TALDO1	4447
GATD1	879
LOC171391	29
CEND1	1
SLC25A22	743
PANO1	27
PIDD1	314
RPLP2	8737
SNORA52	21
PNPLA2	1369
CRACR2B	588
CD151	6042
POLR2L	712
TSPAN4	1438
CHID1	1866
AP2A2	2244
MUC6	3
LINC02688	3
LOC107987157	4
MUC2	1
MUC5AC	2
MUC5B	270
MUC5B-AS1	10
MIR6744	0
TOLLIP	1419
105376512	11
TOLLIP-DT	18
BRSK2	6
107984298	0
105376514	1
MOB2	483
DUSP8	401
KRTAP5-AS1	167
KRTAP5-1	37
KRTAP5-2	46
IFITM10	329
CTSD	51419
LOC105376517	18
SYT8	70
TNNI2	24
LSP1	2709
MIR7847	407
LINC01150	13
TNNT3	9
MRPL23	365
MRPL23-AS1	0
103344718	44
H19	78
MIR675	16
IGF2	380
INS-IGF2	372
IGF2-AS	0
TH	0
ASCL2	2
C11orf21	49
TSPAN32	31
CD81-AS1	275
CD81	7728
TSSC4	511
TRPM5	2
KCNQ1	371
KCNQ1OT1	325
KCNQ1-AS1	0
CDKN1C	219
SLC22A18AS	162
SLC22A18	618
PHLDA2	346
NAP1L4	3594
CARS1	1010
CARS1-AS1	152
OSBPL5	834
107987158	0
MRGPRE	3
ZNF195	716
TSSC2	26
OR7E12P	8
105379880	18
LOC105376526	705
LOC101927708	4
LOC107984301	7
TRPC2	13
ART5	4
ART1	1
CHRNA10	7
NUP98	3368
PGAP2	528
RHOG	1079
STIM1-AS1	34
STIM1	1941
MIR4687	73
RRM1	2437
LINC02749	3
TRIM21	762
TRIM68	764
OR51E1	25
MMP26	0
HBB	267
HBD	1
HBG1	0
HBG2	1
HBE1	1
OR51B5	1
UBQLNL	31
OLFM5P	15
TRIM5	1518
TRIM6	902
TRIM6-TRIM34	663
TRIM34	479
LOC107984302	9
TRIM22	5396
OR52N4	3
OR52N2	8
LOC112268071	0
107984304	0
OR56A3	0
C11orf42	31
FHIP1B	1009
CNGA4	31
CCKBR	0
CAVIN3	82
LOC101927825	65
SMPD1	990
APBB1	528
HPX	11
TRIM3	281
ARFIP2	1298
TIMM10B	1027
DNHD1	283
RRP8	632
ILK	1363
TAF10	1780
TPP1	8119
DCHS1	567
MRPL17	1301
GVINP1	368
LOC107984019	2
ZNF215	32
LOC102724711	4
ZNF214	142
NLRP14	3
RBMXL2	0
SYT9	22
LOC100506258	116
OLFML1	191
PPFIBP2	1279
LOC105376535	30
CYB5R2	159
OVCH2	13
LOC105376533	3
OR5E1P	0
LOC283299	2
LOC107984307	0
EIF3F	1932
TUB	166
RIC3	275
LMO1	2
STK33	259
TRIM66	4451
RPL27A	9362
SNORA3A	13
SNORA3B	11
DENND2B	2284
LOC107984308	6
105376539	0
LOC102724784	1
AKIP1	525
C11orf16	48
TMEM9B	2287
TMEM9B-AS1	46
NRIP3	194
NRIP3-DT	35
SCUBE2	242
LOC105376542	7
DENND5A	1996
TMEM41B	1496
IPO7	7896
LOC644656	18
ZNF143	642
WEE1	899
SWAP70	2939
LINC02709	19
SBF2-AS1	213
SBF2	1084
LOC105369149	51
ADM-DT	5
ADM	503
CAND1.11	3
AMPD3	855
MTRNR2L8	2
RNF141	2819
IRAG1-AS1	20
LYVE1	498
IRAG1	623
CTR9	2371
EIF4G2	31890
SNORD97	20
LOC101928053	10
112268072	10
ZBED5	1655
ZBED5-AS1	305
LOC105379882	3
LINC02752	13
LOC105376548	1
GALNT18	1527
CSNK2A3	66
LOC107983976	13
LOC107984311	9
USP47	3238
DKK3	2030
MICAL2	4262
107984312	21
84953	1186
PARVA	2317
TEAD1	1878
LOC107984313	1
LINC00958	39
RASSF10-DT	79
RASSF10	79
ARNTL	380
BTBD10	921
FAR1	2499
SPON1	890
RRAS2	828
COPB1	7439
PSMA1	3697
PDE3B	418
LOC107984315	3
CYP2R1	495
CALCA	0
CALCB	1
INSC	3
LOC105376568	0
LOC105376567	0
SOX6	84
MIR6073	1
C11orf58	4956
PLEKHA7	1529
112268085	3
OR7E14P	49
RPS13	5191
SNORD14A	21
SNORD14B	24
PIK3C2A	2879
NUCB2	2278
NCR3LG1	37
107984316	39
KCNJ11	45
ABCC8	10
USH1C	6
OTOG	1
KCNC1	0
SERGEF	240
LOC107984317	2
TPH1	8
SAAL1	296
MRGPRX3	0
SAA2-SAA4	18
SAA4	4
SAA2	47
SAA1	57
HPS5	1081
GTF2H1	1387
LOC105376577	35
LDHA	20897
LDHC	66
LDHAL6A	8
TSG101	1979
UEVLD	1324
LOC112268073	3
SPTY2D1OS	134
SPTY2D1	1306
TMEM86A	348
IGSF22	34
105376579	22
PTPN5	23
MRGPRX2	0
ZDHHC13	925
CSRP3	0
CSRP3-AS1	17
E2F8	261
NAV2	3006
NAV2-AS4	3
NAV2-AS6	8
NAV2-AS2	139
LOC107984418	25
HTATIP2	1833
PRMT3	512
NELL1	5
105376586	0
LOC102723370	2
LOC105376587	2
ANO5	423
FANCF	519
GAS2	27
SVIP	812
105376591	10
LINC02718	11
LUZP2	54
ANO3	142
MUC15	1007
LOC107987160	0
SLC5A12	12
FIBIN	304
BBOX1	77
BBOX1-AS1	2
LOC105376600	0
CCDC34	248
LGR4	2804
LGR4-AS1	5
LIN7C	1068
BDNF-AS	53
BDNF	37
KIF18A	213
METTL15	605
LINC01616	0
KCNA4	7
ARL14EP	871
LOC102723403	2
MPPED2	42
DCDC1	32
LOC105376611	5
DNAJC24	354
IMMP1L	102
ELP4	366
PAX6	21
RCN1	4201
WT1	1
WT1-AS	0
EIF3M	3228
CCDC73	395
PRRG4	2434
QSER1	1661
LOC105376615	44
DEPDC7	32
TCP11L1	359
LINC00294	81
CSTF3	1101
CSTF3-DT	4
HIPK3	4768
KIAA1549L	19
LOC105376617	4
C11orf91	36
CD59	13236
FBXO3	1381
LINC02721	0
LMO2	274
LOC101929918	75
CAPRIN1	8978
NAT10	1680
ABTB2	305
102723539	60
CAT	3090
ELF5	12
LINC02707	2
EHF	5089
LOC102723568	0
LOC105376624	5
APIP	686
PDHX	969
LOC105376626	7
LOC105376627	3
LOC100507144	2
CD44	6566
SLC1A2	115
PAMR1	102
FJX1	40
TRIM44	3517
LDLRAD3	129
COMMD9	874
PRR5L	209
TRAF6	602
RAG1	25
RAG2	4
IFTAP	200
LOC107984325	0
LOC105376636	0
LRRC4C	20
API5	4766
TTC17	2461
HSD17B12	3939
LOC107984328	453
ALKBH3	416
SEC14L1P1	27
ALKBH3-AS1	11
C11orf96	106
ACCS	829
EXT2	1996
ALX4	3
CD82	1530
LINC02704	0
TSPAN18	394
TP53I11	4139
PRDM11	155
LOC105376652	23
101060179	68
SYT13	3
LINC02696	5
CHST1	96
LINC02716	5
SLC35C1	734
CRY2	1592
MAPK8IP1	211
C11orf94	1
PEX16	495
LARGE2	483
PHF21A	816
LINC02489	3
CREB3L1	139
DGKZ	969
MDK	6607
CHRM4	159
AMBRA1	908
HARBI1	224
ATG13	1581
ARHGAP1	3296
ZNF408	250
F2	0
CKAP5	3762
LRP4-AS1	1
LRP4	114
C11orf49	590
107984329	115
ARFGAP2	1678
PACSIN3	619
DDB2	468
ACP2	1331
NR1H3	815
MADD	1767
MADD-AS1	2
MYBPC3	3
SPI1	1684
SLC39A13	1319
PSMC3	2446
RAPSN	3
CELF1	3641
PTPMT1	912
KBTBD4	407
NDUFS3	787
FAM180B	0
C1QTNF4	6
MTCH2	1887
AGBL2	58
FNBP4	1670
NUP160	1814
PTPRJ	1381
FOLH1	155
GRM5P1	0
107984330	0
SEPTIN7P11	0
TRIM48	0
OR4C6	0
LINC02735	3
LOC105369310	0
OR5AK2	0
OR5AK4P	1
LOC105369309	0
LRRC55	2
APLNR	313
TNKS1BP1	4621
SSRP1	2997
P2RX3	12
PRG2	16
105369312	11
SLC43A3	2905
RTN4RL2	235
SLC43A1	214
TIMM10	378
SMTNL1	23
UBE2L6	2764
SERPING1	4642
YPEL4	28
CLP1	338
ZDHHC5	3705
MED19	274
TMX2-CTNND1	7438
TMX2	1571
SELENOH	2028
BTBD18	2
CTNND1	7214
LOC105369313	13
LPXN	1092
ZFP91	2883
ZFP91-CNTF	450
CNTF	9
GLYATL2	0
GLYATL1	4
LOC283194	16
GLYATL1B	9
LOC105369315	52
FAM111B	567
FAM111A-DT	223
FAM111A	1900
DTX4	1000
MPEG1	2679
LOC102723575	10
LINC02739	6
OSBP	2522
LOC101927226	7
PATL1	1525
OR10V1	0
STX3	1671
MRPL16	711
CBLIF	3
TCN1	101
MS4A3	2
MS4A2	249
LINC02705	14
MS4A6A	3291
MS4A4E	133
MS4A4A	1530
MS4A6E	0
MS4A7	2464
MS4A14	190
MS4A1	71
LOC105369321	1
MS4A8	126
MS4A18	1
MS4A15	78
MS4A10	0
CCDC86	517
PTGDR2	39
ZP1	2
PRPF19	1559
PRPF19-DT	7
TMEM109-DT	4
TMEM109	2248
TMEM132A	568
SLC15A3	924
CD6	141
LOC105369326	16
LOC105369325	40
CD5	165
VPS37C	1081
PGA3	2
PGA4	2
PGA5	1
VWCE	3
DDB1	5991
TKFC	1344
CYB561A3	670
TMEM138	533
TMEM216	321
CPSF7	1969
SDHAF2	962
PPP1R32	56
LOC105369329	0
LRRC10B	37
SYT7	554
LOC105369331	7
LOC101927495	10
RPLP0P2	25
DAGLA	321
MYRF	205
MYRF-AS1	0
TMEM258	242
MIR611	116
FEN1	710
FADS1	1675
FADS2	866
FADS3	621
MIR6746	3
RAB3IL1	176
BEST1	20299
LOC107984334	48
FTH1	20671
LOC399900	8
INCENP	600
SCGB2A1	7
ASRGL1	304
107984335	0
LOC102723765	12
SCGB1A1	6495
AHNAK	16261
EEF1G	21454
MIR6747	3
TUT1	522
MTA2	1564
EML3	829
ROM1	63
B3GAT3	874
GANAB	9886
INTS5	1363
LBHD1	504
C11orf98	364
CSKMT	54
SNORA57	5
UQCC3	254
UBXN1	1567
LRRN4CL	27
HNRNPUL2-BSCL2	2607
BSCL2	1191
GNG3	45
HNRNPUL2	2443
TTC9C	493
ZBTB3	67
POLR2G	854
TAF6L	271
TMEM179B	787
MIR6748	12
TMEM223	500
NXF1	2089
MIR6514	0
STX5	1250
STX5-DT	87
WDR74	409
SNHG1	927
SNORD22	79
SNORD31	57
SNORD30	11
SNORD29	43
SNORD28	34
SNORD27	23
SNORD26	22
SNORD25	41
SLC3A2	2871
CHRM1	3
LOC105369333	7
SLC22A8	0
SLC22A25	2
SLC22A10	9
PLAAT5	16
LGALS12	26
PLAAT4	1446
PLAAT2	6
PLAAT3	1296
LOC105369335	7
107984336	3
ATL3	2989
RTN3	4738
ZFTA	292
SPINDOC	487
MARK2	2139
RCOR2	30
NAA40	705
COX8A	2097
OTUB1	1986
MACROD1	253
101927673	16
FLRT1	17
LOC105369339	3
STIP1	4274
FERMT3	1327
TRPT1	537
NUDT22	678
DNAJC4	757
VEGFB	1082
FKBP2	580
LOC114841035	581
PPP1R14B	657
PPP1R14B-AS1	36
PLCB3	896
BAD	432
GPR137	800
KCNK4	2
KCNK4-TEX40	3
CATSPERZ	1
ESRRA	935
TRMT112	1625
PRDX5	4258
LOC102723878	11
CCDC88B	500
RPS6KA4	905
LINC02723	1
LINC02724	7
SLC22A11	0
NRXN2	29
RASGRP2	125
PYGM	16
SF1	4096
MAP4K2	472
MEN1	890
CDC42BPG	947
EHD1	1667
MIR10392	44
ATG2A	963
PPP2R5B	329
GPHA2	5
MAJIN	0
BATF2	229
ARL2-SNX15	434
ARL2	361
SNX15	186
SAC3D1	76
NAALADL1	65
CDCA5	381
ZFPL1	493
TMEM262	6
VPS51	1775
TM7SF2	737
ZNHIT2	155
FAU	4415
MRPL49	1637
SYVN1	2767
MIR6751	4
SPDYC	0
LOC728975	192
CAPN1	5083
SLC22A20P	30
POLA2	528
LOC105369344	14
CDC42EP2	93
DPF2	900
TIGD3	18
SLC25A45	227
FRMD8	800
107984338	899
NEAT1	12450
MIR612	10
LOC101927789	16
LINC02736	0
MALAT1	11372
TALAM1	11263
MASCRNA	117
SCYL1	1866
LTBP3	2638
ZNRD2-DT	46
ZNRD2	352
FAM89B	611
EHBP1L1	1513
KCNK7	3
MAP3K11	1386
PCNX3	1624
MIR4690	1
SIPA1	1165
MIR4489	8
RELA	2078
RELA-DT	97
KAT5	811
RNASEH2C	803
AP5B1	911
OVOL1	55
SNX32	3053
CFL1	11086
MUS81	627
EFEMP2	444
CTSW	119
FIBP	848
CCDC85B	71
FOSL1	64
C11orf68	580
DRAP1	1223
105369349	0
TSGA10IP	6
SART1	1272
EIF1AD	585
BANF1	1700
CST6	239
CATSPER1	114
GAL3ST3	0
SF3B2	5278
PACS1	2500
LOC105369354	2
KLC2	421
KLC2-AS1	159
KLC2-AS2	0
RAB1B	3893
LOC107984340	634
CNIH2	16
YIF1A	1476
TMEM151A	11
CD248	264
RIN1	103
BRMS1	827
B4GAT1	396
LOC102724064	109
TRS-GCT3-1	3
SLC29A2	575
NPAS4	6
MRPL11	817
PELI3	176
DPP3-DT	66
DPP3	1362
BBS1	962
ZDHHC24	701
ACTN3	1
CTSF	515
CCDC87	27
CCS	387
RBM14-RBM4	740
RBM14	978
RBM4	1214
RBM4B	340
SPTBN2	966
C11orf80	584
RCE1	336
PC	1294
LRFN4	95
105369355	3
C11orf86	1
SYT12	749
RHOD	123
LOC107984341	3
KDM2A	3920
GRK2	2136
ANKRD13D	450
SSH3	1320
LOC100130987	29
POLD4	1669
CLCF1	161
RAD9A	467
PPP1CA	2928
TBC1D10C	201
CARNS1	93
RPS6KB2	936
CORO1B	3280
PTPRCAP	112
GPR152	1
CABP4	27
TMEM134	771
AIP	911
MIR6752	3
PITPNM1	984
CDK2AP2	1059
GSTP1	7117
NDUFV1-DT	2
NDUFV1	2078
DOC2GP	9
NUDT8	72
TBX10	1
ACY3	75
ALDH3B2	163
LOC105369358	3
FAM86C2P	127
LINC02754	14
LOC112268076	10
UNC93B1	1859
ALDH3B1	3401
NDUFS8	889
MIR7113	4
MIR4691	11
TCIRG1	3190
MIR6753	6
CHKA	952
CHKA-DT	7
KMT5B	1702
C11orf24	792
LOC105369363	10
LRP5	1980
PPP6R3	3452
LOC107984343	2
GAL	2
TESMIN	17
CPT1A	1006
LINC02701	20
MRPL21	494
IGHMBP2	411
MRGPRF	100
MRGPRF-AS1	2
TPCN2	253
MIR3164	0
107984344	14
SMIM38	15
MYEOV	0
LOC105369370	8
LINC02747	0
CCND1	4063
LTO1	264
FGF19	0
107984355	1
LOC105369371	0
ANO1	442
105369372	0
LOC101928473	0
FADD	568
PPFIA1	1890
LOC107984346	1
LOC105369373	73
107984347	218
CTTN	6579
SHANK2	789
SHANK2-AS1	0
DHCR7	1344
NADSYN1	1569
KRTAP5-7	2
KRTAP5-8	0
KRTAP5-9	2
KRTAP5-10	3
FAM86C1P	206
ALG1L9P	59
ZNF705E	7
LOC100133315	23
DEFB131B	15
RNF121	629
IL18BP	320
NUMA1	6289
LOC100128494	1440
LRTOMT	721
LAMTOR1	1576
ANAPC15	211
FOLR3	5
FOLR1	1239
FOLR2	843
INPPL1	3093
PHOX2A	0
CLPB	519
LINC01537	8
PDE2A	99
PDE2A-AS2	12
LOC105369377	0
PDE2A-AS1	0
ARAP1	2800
ARAP1-AS2	125
STARD10	835
105369380	10
LOC107984421	43
ATG16L2	826
FCHSD2	1460
P2RY2	278
LOC105369382	2
P2RY6	191
ARHGEF17	1302
ARHGEF17-AS1	26
RELT	336
FAM168A	1252
PLEKHB1	481
RAB6A	4546
MRPL48	311
COA4	1151
PAAF1	690
DNAJB13	284
UCP2	1892
UCP3	32
C2CD3	1047
PPME1	1017
P4HA3	214
P4HA3-AS1	9
PGM2L1	1808
KCNE3	346
LIPT2	41
LOC100287896	216
POLD3	863
CHRDL2	24
RNF169	821
XRRA1	452
LOC107984352	0
SPCS2	2586
NEU3	309
OR2AT4	4
SLCO2B1	4791
LOC105369388	407
TPBGL	18
ARRB1	1988
RPS3	9755
SNORD15A	7
SNORD15B	3
KLHL35	39
GDPD5	199
LOC105369389	4
SERPINH1	5691
LOC105369391	8
MAP6	106
MOGAT2	0
DGAT2	119
UVRAG-DT	7
UVRAG	764
WNT11	28
LOC112268079	0
LINC02761	1
THAP12	1472
GVQW3	78
EMSY	688
LINC02757	7
LRRC32	539
107984360	53
GUCY2EP	0
TSKU	473
TSKU-AS1	5
ACER3	1659
B3GNT6	791
CAPN5	343
MYO7A	372
GDPD4	7
PAK1	2587
LOC646029	3
AQP11	61
CLNS1A	1488
RSF1	2590
AAMDC	120
INTS4	911
NDUFC2-KCTD14	903
KCTD14	88
THRSP	5
NDUFC2	977
LOC105369401	3
ALG8	900
KCTD21-AS1	95
KCTD21	514
USP35	242
GAB2	805
LOC105369402	0
LINC02728	3
NARS2	558
LOC105369403	2
TENM4	137
MIR4300HG	0
FAM181B	1
LINC02734	0
PRCP	2875
DDIAS	139
RAB30	393
RAB30-DT	110
PCF11	1405
LOC100506282	115
PCF11-AS1	61
ANKRD42	586
CCDC90B	839
DLG2	109
TMEM126B	1177
TMEM126A	322
CREBZF	2813
CCDC89	28
SYTL2	4308
PICALM	7275
EED	518
MIR6755	6
HIKESHI	587
LOC105369421	4
CCDC81	72
ME3	349
ME3-DT	23
LOC102724775	4
PRSS23	2428
112268086	5
LOC107984429	4
LOC107984428	34
FZD4	858
FZD4-DT	19
LOC105369422	1
TMEM135	876
LOC107984361	4
RAB38	714
CTSC	14499
LOC101929174	149
GRM5	46
GRM5-AS1	38
NOX4	127
FOLH1B	5
TRIM49	0
TRIM51EP	0
TRIM53AP	1
TRIM49C	0
NAALAD2	132
CHORDC1	1005
FAT3	36
MTNR1B	0
SLC36A4	896
DEUP1	37
SMCO4	556
CEP295	1004
SCARNA9	5
TAF1D	2205
SNORA25	27
SNORA32	82
SNORD6	38
SNORA1	27
SNORA8	121
SNORD5	52
SNORA18	67
MIR1304	39
SNORA40	163
C11orf54	946
MED17	800
VSTM5	14
HEPHL1	28
PANX1	1057
LOC105369435	7
GPR83	10
MRE11	943
ANKRD49	603
C11orf97	9
FUT4	243
PIWIL4-AS1	67
PIWIL4	60
LINC02700	10
AMOTL1	957
CWC15	1380
KDM4D	52
SRSF8	1430
ENDOD1	3153
LOC101929295	17
SESN3	4892
LOC100129203	19
FAM76B	715
CEP57	1445
MTMR2	1228
MAML2	1430
MIR1260B	31
CCDC82	1320
JRKL	686
LOC105369455	0
CNTN5	20
ARHGAP42-AS1	13
ARHGAP42	1268
PGR	286
PGR-AS1	2
LOC105369458	4
TRPC6	334
ANGPTL5	18
CEP126	243
CFAP300	114
YAP1	4697
BIRC3	9034
BIRC2	2283
TMEM123	9167
TMEM123-DT	6
MMP7	673
MMP20	1
LOC101928477	0
MMP8	172
MMP10	147
WTAPP1	70
MMP1	283
MMP3	22
MMP12	2017
MMP13	281
DCUN1D5	881
DYNC2H1	774
LOC102723862	3
LOC105369464	4
PDGFD	1002
LINC02552	1
LOC107984380	3
CASP12	15
CASP4LP	68
CASP4	2602
CASP5	39
CASP1	1515
CARD16	422
CASP1P2	28
CARD17	111
LOC105369468	0
GRIA4	10
MSANTD4	970
KBTBD3	423
AASDHPPT	1658
GUCY1A2	659
LOC105369477	131
CWF19L2	530
ALKBH8	383
ELMOD1	17
SLN	2
SLC35F2	1178
RAB39A	74
CUL5	1879
ACAT1	1375
NPAT	1156
ATM	1961
C11orf65	95
POGLUT3	1898
LOC112267909	14
EXPH5	1487
DDX10	677
C11orf87	0
107984384	0
LOC105369484	1
ZC3H12C	752
RDX	3477
LINC02732	0
FDX1	769
105369487	9
ARHGAP20	848
LINC02550	0
LOC102723966	0
C11orf53	2
COLCA1	719
COLCA2	365
POU2AF1	200
BTG4	15
LOC728196	10
MIR34B	3
MIR34C	1
HOATZ	56
LAYN	409
SIK2	1243
PPP2R1B	890
ALG9	695
FDXACB1	93
C11orf1	373
CRYAB	151
HSPB2	43
HSPB2-C11orf52	317
C11orf52	299
DIXDC1	580
DLAT	1544
PIH1D2	531
NKAPD1	1086
TIMM8B	439
SDHD	2534
IL18	434
TEX12	5
BCO2	48
PTS	322
LINC02762	13
107984387	103
NCAM1	33
NCAM1-AS1	2
TTC12	662
ANKK1	44
DRD2	5
LOC107984390	0
TMPRSS5	5
ZW10	814
USP28	1836
HTR3B	3
HTR3A	303
ZBTB16	1389
101928875	3
NNMT	1440
LOC101928940	1
LOC107984391	1
C11orf71	738
RBM7	1299
REXO2	1411
NXPE2	3
NXPE4	0
CADM1	2983
LOC105369509	0
LINC00900	41
LOC107984393	21
BUD13	517
ZPR1	1016
APOA5	2
APOC3	0
APOA1	1
APOA1-AS	4
SIK3	773
PAFAH1B2	2365
SIDT2	942
LOC100652768	188
TAGLN	5222
PCSK7	2548
RNF214	469
BACE1	1043
BACE1-AS	65
CEP164	676
DSCAML1	17
107984394	3
FXYD2	8
FXYD6-FXYD2	120
FXYD6	507
TMPRSS13	642
IL10RA	683
SMIM35	208
TMPRSS4	883
LOC105369517	11
SCN4B	350
SCN2B	51
JAML	705
MPZL3	1383
MPZL2	6984
CD3E	331
CD3D	124
CD3G	63
UBE4A	3289
LOC100131626	126
ATP5MG	1773
KMT2A	2452
TTC36-AS1	94
TTC36	13
TMEM25	494
IFT46	571
ARCN1	6360
PHLDB1	1765
MIR6716	58
TREH	186
LOC105369519	27
DDX6	4893
CXCR5	565
BCL9L	2573
MIR4492	4
UPK2	10
CENATAC-DT	36
CENATAC	584
RPL23AP64	35
RPS25	4746
TRAPPC4	927
SLC37A4	921
HYOU1	5997
VPS11	1450
HMBS	469
H2AX	757
DPAGT1	1009
107984397	5
C2CD2L	358
HINFP	381
ABCG4	8
NLRX1	532
PDZD3	3
CCDC153	36
CBL	846
MCAM	2091
MIR6756	1
RNF26	870
C1QTNF5	127
MFRP	127
USP2	99
USP2-AS1	9
THY1	1193
LOC107984398	1
LOC105369520	0
NECTIN1	504
NECTIN1-DT	14
LOC105369526	0
TRIM29	42
LOC105369529	1
OAF	233
POU2F3	304
LOC649133	2
LOC105369531	1
TLCD5	178
ARHGEF12	7205
