0	Chromosome	Start	End	Strand	Feature	Gene name
ENSMUSG00000029385	5	93696282	93705257	+	protein_coding	Ccng2
ENSMUSG00000033307	10	75322097	75322995	-	protein_coding	Mif
ENSMUSG00000031659	8	90796301	90853861	+	protein_coding	Adcy7
ENSMUSG00000025086	19	57527395	57565495	+	protein_coding	Trub1
ENSMUSG00000006732	10	126478469	126483421	+	protein_coding	Mettl1
ENSMUSG00000063334	10	111409719	111425488	+	protein_coding	Krr1
ENSMUSG00000061024	1	9535488	9537535	+	protein_coding	Rrs1
ENSMUSG00000044199	10	80961222	80962452	-	protein_coding	S1pr4
ENSMUSG00000048827	8	112138416	112198286	+	protein_coding	Pkd1l3
ENSMUSG00000056612	19	7049537	7051814	+	protein_coding	Ppp1r14b
ENSMUSG00000041538	17	34375847	34390850	+	protein_coding	H2-Ob
ENSMUSG00000011257	4	122939593	122976168	+	protein_coding	Pabpc4
ENSMUSG00000042487	9	75289330	75314239	+	protein_coding	Leo1
ENSMUSG00000022996	15	98602183	98608581	-	protein_coding	Wnt10b
ENSMUSG00000040463	11	72254856	72265270	+	protein_coding	Mybbp1a
ENSMUSG00000026879	2	35111926	35163420	+	protein_coding	Gsn
ENSMUSG00000032908	1	78306920	78416861	+	protein_coding	Sgpp2
ENSMUSG00000022962	16	91621430	91647197	-	protein_coding	Gart
ENSMUSG00000031939	9	15110657	15121441	+	protein_coding	Taf1d
ENSMUSG00000006360	12	114390222	114392088	+	protein_coding	Crip1
ENSMUSG00000022748	16	57302311	57606979	-	protein_coding	2610528E23Rik
ENSMUSG00000020079	10	61891956	61912486	-	protein_coding	Supv3l1
ENSMUSG00000036902	8	88161135	88224653	-	protein_coding	Neto2
ENSMUSG00000026234	1	88241293	88256030	-	protein_coding	Ncl
ENSMUSG00000020788	11	72774670	72806546	+	protein_coding	Atp2a3
ENSMUSG00000090164	6	128798061	128841144	-	protein_coding	BC035044
ENSMUSG00000006442	4	147965611	147969102	+	protein_coding	Srm
ENSMUSG00000040675	10	6179459	6373423	-	protein_coding	Mthfd1l
ENSMUSG00000020741	11	74462996	74484349	+	protein_coding	1300001I01Rik
ENSMUSG00000027639	2	156923264	156961001	-	protein_coding	Samhd1
ENSMUSG00000018446	11	70791337	70796528	-	protein_coding	C1qbp
ENSMUSG00000029036	4	155114749	155135207	-	protein_coding	Atad3a
ENSMUSG00000037405	9	20820403	20833241	+	protein_coding	Icam1
ENSMUSG00000061838	6	95423005	95668792	-	protein_coding	Suclg2
ENSMUSG00000032946	19	6399339	6415216	+	protein_coding	Rasgrp2
ENSMUSG00000026853	2	30255990	30271333	-	protein_coding	Crat
ENSMUSG00000025366	10	127947303	127962926	-	protein_coding	Esyt1
ENSMUSG00000034282	11	116081872	116099391	-	protein_coding	Evpl
ENSMUSG00000018750	11	69579413	69597525	+	protein_coding	Zbtb4
ENSMUSG00000037552	7	29144622	29157681	-	protein_coding	Plekhg2
ENSMUSG00000018008	15	78427476	78452449	+	protein_coding	Cyth4
ENSMUSG00000034055	X	99709313	99839585	-	protein_coding	Phka1
ENSMUSG00000025591	8	68998228	69010429	-	protein_coding	1810029B16Rik
ENSMUSG00000027185	2	103561412	103601427	-	protein_coding	Nat10
ENSMUSG00000000708	17	53706185	53812045	+	protein_coding	Kat2b
ENSMUSG00000034164	11	5006267	5052260	-	protein_coding	Emid1
ENSMUSG00000020075	10	62042995	62065046	-	protein_coding	Ddx21
ENSMUSG00000022325	15	34425058	34460403	+	protein_coding	Pop1
ENSMUSG00000074211	7	31106429	31107394	-	protein_coding	Sdhaf1
ENSMUSG00000020706	11	106110455	106117393	-	protein_coding	Ftsj3
ENSMUSG00000038368	4	87740532	88056915	+	protein_coding	BC057079
ENSMUSG00000042821	2	167363694	167368314	+	protein_coding	Snai1
ENSMUSG00000018548	11	86940578	87034185	+	protein_coding	Trim37
ENSMUSG00000027863	3	101079821	101091862	-	protein_coding	Cd2
ENSMUSG00000013629	5	31357152	31380852	+	protein_coding	Cad
ENSMUSG00000001305	1	188544856	188573237	-	protein_coding	Rrp15
ENSMUSG00000044149	X	34427534	34442894	-	protein_coding	Nkrf
ENSMUSG00000031467	8	18846276	18891361	+	protein_coding	Agpat5
ENSMUSG00000045983	16	20668385	20692957	+	protein_coding	Eif4g1
ENSMUSG00000057191	9	21330619	21349777	+	protein_coding	AB124611
ENSMUSG00000042606	7	134005485	134008891	+	protein_coding	Hirip3
ENSMUSG00000042377	11	61497592	61523453	+	protein_coding	Fam83g
ENSMUSG00000096544	NA	NA	NA	NA	NA	NA
ENSMUSG00000022237	15	31221233	31297514	-	protein_coding	Ankrd33b
ENSMUSG00000042210	9	106342381	106350009	-	protein_coding	Abhd14a
ENSMUSG00000060950	12	112916315	112922113	+	protein_coding	Trmt61a
ENSMUSG00000019814	10	12898445	12912943	-	protein_coding	Ltv1
ENSMUSG00000049553	6	71859046	71929350	+	protein_coding	Polr1a
ENSMUSG00000004837	11	61466766	61486286	+	protein_coding	Grap
ENSMUSG00000053289	9	52906558	53056217	-	protein_coding	Ddx10
ENSMUSG00000101892	NA	NA	NA	NA	NA	NA
ENSMUSG00000108929	NA	NA	NA	NA	NA	NA
ENSMUSG00000000811	6	89593981	89625523	+	protein_coding	Txnrd3
ENSMUSG00000095567	NA	NA	NA	NA	NA	NA
ENSMUSG00000048087	16	46153109	46155190	-	protein_coding	Gm4737
ENSMUSG00000006589	8	125098536	125100807	-	protein_coding	Aprt
ENSMUSG00000026558	1	169156220	169215258	-	protein_coding	Uck2
ENSMUSG00000037606	7	150874666	150942890	-	protein_coding	Osbpl5
ENSMUSG00000018334	11	78826941	78959909	-	protein_coding	Ksr1
ENSMUSG00000020812	11	116532973	116537113	+	protein_coding	1810032O08Rik
ENSMUSG00000040990	X	156065203	156416001	+	protein_coding	Sh3kbp1
ENSMUSG00000041936	4	155539398	155571536	-	protein_coding	Agrn
ENSMUSG00000040345	10	126759171	126766999	+	protein_coding	Arhgap9
ENSMUSG00000037149	12	13226113	13256019	-	protein_coding	Ddx1
ENSMUSG00000003955	16	36043929	36071601	-	protein_coding	Fam162a
ENSMUSG00000021384	13	49326058	49344075	-	protein_coding	Susd3
ENSMUSG00000075229	16	36071745	36092204	+	protein_coding	Ccdc58
ENSMUSG00000057541	5	23246465	23289529	-	protein_coding	Pus7
ENSMUSG00000031785	8	97508502	97538090	+	protein_coding	Gpr56
ENSMUSG00000047193	9	6928502	7184446	-	protein_coding	Dync2h1
ENSMUSG00000051518	15	80091043	80094736	-	protein_coding	Rps19bp1
ENSMUSG00000036693	5	34981180	35002797	-	protein_coding	Nop14
ENSMUSG00000052331	1	54702183	54983231	-	protein_coding	Ankrd44
ENSMUSG00000078429	10	126415772	126437031	+	protein_coding	Ctdsp2
ENSMUSG00000051590	1	129711847	129736867	-	protein_coding	Ysk4
ENSMUSG00000003824	8	87396009	87412120	+	protein_coding	Syce2
ENSMUSG00000049044	2	71819271	72095531	+	protein_coding	Rapgef4
ENSMUSG00000030521	7	71521426	71537154	-	protein_coding	Mphosph10
ENSMUSG00000040888	17	24830135	24833101	-	protein_coding	Gfer
ENSMUSG00000032009	9	14080744	14130582	+	protein_coding	Sesn3
ENSMUSG00000020180	10	74980786	74998185	+	protein_coding	Snrpd3
ENSMUSG00000022682	16	13780791	13814933	+	protein_coding	Rrn3
ENSMUSG00000072653	6	47893193	47903153	+	processed_transcript	Zfp783
ENSMUSG00000049916	16	17113491	17125199	-	protein_coding	2610318N02Rik
ENSMUSG00000040596	1	168314752	168339994	-	protein_coding	Pogk
ENSMUSG00000028010	3	129527829	129534314	-	protein_coding	Gar1
ENSMUSG00000037822	5	65838082	65928423	-	protein_coding	1110003E01Rik
ENSMUSG00000032834	10	77633654	77647894	-	protein_coding	Pwp2
ENSMUSG00000041762	2	73179562	73224629	-	protein_coding	Gpr155
ENSMUSG00000044949	11	32355369	32416687	+	protein_coding	Ubtd2
ENSMUSG00000032265	9	85214045	85220731	-	protein_coding	Fam46a
ENSMUSG00000035443	9	26807261	26814915	+	protein_coding	Thyn1
ENSMUSG00000005968	3	94416678	94462794	-	protein_coding	Tuft1
ENSMUSG00000031562	8	49184445	49238587	+	protein_coding	Dctd
ENSMUSG00000041360	19	27463191	27504310	-	protein_coding	D19Bwg1357e
ENSMUSG00000028910	4	131399384	131423701	+	protein_coding	Mecr
ENSMUSG00000021958	14	64479148	64538696	+	protein_coding	Pinx1
ENSMUSG00000024030	17	31194642	31252722	+	protein_coding	Abcg1
ENSMUSG00000006641	5	31338408	31351297	-	protein_coding	Slc5a6
ENSMUSG00000040533	4	130500299	130511390	+	protein_coding	Matn1
ENSMUSG00000019823	10	41196119	41206838	+	protein_coding	Mical1
ENSMUSG00000046169	13	105077952	105284843	+	protein_coding	Adamts6
ENSMUSG00000009628	8	34627209	34696054	+	protein_coding	Tex15
ENSMUSG00000028318	4	45031454	45049437	+	protein_coding	Polr1e
ENSMUSG00000008604	3	88357637	88373647	+	protein_coding	Ubqln4
ENSMUSG00000098934	NA	NA	NA	NA	NA	NA
ENSMUSG00000025795	10	120847405	120913306	-	protein_coding	Rassf3
ENSMUSG00000038175	13	45485110	45507388	+	protein_coding	Mylip
ENSMUSG00000099703	NA	NA	NA	NA	NA	NA
ENSMUSG00000039680	16	92058514	92112472	+	protein_coding	Mrps6
ENSMUSG00000018909	7	106683975	106755281	+	protein_coding	Arrb1
ENSMUSG00000035960	14	51544642	51546814	+	protein_coding	Apex1
ENSMUSG00000003484	8	74512380	74533525	-	protein_coding	Cyp4f18
ENSMUSG00000027999	3	129581523	129598739	+	protein_coding	Pla2g12a
ENSMUSG00000022768	16	17139156	17147322	-	protein_coding	Ccdc116
ENSMUSG00000020990	12	70847834	70891694	-	protein_coding	Cdkl1
ENSMUSG00000100863	NA	NA	NA	NA	NA	NA
ENSMUSG00000020899	11	68799198	68824788	-	protein_coding	Pfas
ENSMUSG00000099974	NA	NA	NA	NA	NA	NA
ENSMUSG00000005718	16	4544660	4559720	-	protein_coding	Tcfap4
ENSMUSG00000024785	19	29175864	29218333	+	protein_coding	Rcl1
ENSMUSG00000066607	9	58338043	58347494	+	protein_coding	6030419C18Rik
ENSMUSG00000038279	6	125081900	125094771	+	protein_coding	Nop2
ENSMUSG00000022094	14	70703273	70751232	-	protein_coding	Slc39a14
ENSMUSG00000053746	2	32631305	32645691	+	protein_coding	Ptrh1
ENSMUSG00000000308	2	121183449	121189473	+	protein_coding	Ckmt1
ENSMUSG00000041632	13	100114740	100185516	+	protein_coding	Mrps27
ENSMUSG00000038335	11	74711572	74722844	+	protein_coding	Tsr1
ENSMUSG00000030427	7	3859881	3867105	-	protein_coding	Lilra6
ENSMUSG00000083364	X	12795048	12795782	-	pseudogene	Gm14535
ENSMUSG00000055148	8	74842931	74845555	+	protein_coding	Klf2
ENSMUSG00000054520	5	34868486	34906274	+	protein_coding	Sh3bp2
ENSMUSG00000009566	2	32538128	32559657	-	protein_coding	Fpgs
ENSMUSG00000020307	10	79144939	79151139	+	protein_coding	Cdc34
ENSMUSG00000030609	7	86040739	86056095	+	protein_coding	Aen
ENSMUSG00000033356	15	94353118	94373978	-	protein_coding	Pus7l
ENSMUSG00000015176	19	46150352	46160018	+	protein_coding	Nolc1
ENSMUSG00000052837	8	87500810	87502617	-	protein_coding	Junb
ENSMUSG00000030313	6	148936592	149050202	-	protein_coding	Dennd5b
ENSMUSG00000005732	16	18239876	18248825	-	protein_coding	Ranbp1
ENSMUSG00000020116	11	17103200	17111571	-	protein_coding	Pno1
ENSMUSG00000027074	2	84776735	84798666	+	protein_coding	Slc43a3
ENSMUSG00000058392	17	32173044	32199810	+	protein_coding	Rrp1b
ENSMUSG00000023979	17	47522341	47529916	+	protein_coding	Guca1b
ENSMUSG00000000617	11	50664186	50679710	+	protein_coding	Grm6
ENSMUSG00000026582	1	165978364	165987808	+	protein_coding	Sele
ENSMUSG00000042729	19	8810328	8815113	+	protein_coding	Wdr74
ENSMUSG00000044456	12	103521257	103629065	+	protein_coding	Rin3
ENSMUSG00000028639	4	118950585	118967209	-	protein_coding	Ybx1
ENSMUSG00000035355	11	100601689	100621256	-	protein_coding	Kcnh4
ENSMUSG00000038011	5	125205454	125314678	+	protein_coding	Dnahc10
ENSMUSG00000026603	1	191704370	191746242	-	protein_coding	Smyd2
ENSMUSG00000027597	2	154885045	154900233	-	protein_coding	Ahcy
ENSMUSG00000037851	13	49777468	49829636	+	protein_coding	Iars
ENSMUSG00000014444	8	125005597	125075229	-	protein_coding	Fam38a
ENSMUSG00000078651	11	101186376	101191016	+	protein_coding	Aoc2
ENSMUSG00000033706	6	85381982	85396429	+	protein_coding	Smyd5
ENSMUSG00000024436	17	36047323	36053334	-	protein_coding	Mrps18b
ENSMUSG00000031389	X	71136780	71167209	-	protein_coding	Arhgap4
ENSMUSG00000028430	4	41061459	41071488	-	protein_coding	Nol6
ENSMUSG00000003604	2	112333120	112474730	+	protein_coding	Aven
ENSMUSG00000009246	7	150255057	150280547	-	protein_coding	Trpm5
ENSMUSG00000019796	10	7309597	7345281	+	protein_coding	Lrp11
ENSMUSG00000042121	5	114387102	114443903	-	protein_coding	Ssh1
ENSMUSG00000062075	10	80363947	80380990	-	protein_coding	Lmnb2
ENSMUSG00000025433	17	40358725	40456126	-	protein_coding	Crisp3
ENSMUSG00000031779	8	97269489	97275599	+	protein_coding	Ccl22
ENSMUSG00000033991	13	76236181	76327764	+	protein_coding	Ttc37
ENSMUSG00000020781	11	115676037	115684408	+	protein_coding	Tsen54
ENSMUSG00000043004	14	20691780	20796849	-	protein_coding	Gng2
ENSMUSG00000010048	9	107490048	107495369	+	protein_coding	Ifrd2
ENSMUSG00000018697	11	84236356	84327024	-	protein_coding	Aatf
ENSMUSG00000032360	9	76073709	76171385	-	protein_coding	Hcrtr2
ENSMUSG00000024078	17	75117089	75262910	+	protein_coding	Ttc27
ENSMUSG00000079036	12	88767118	88784789	-	protein_coding	Alkbh1
ENSMUSG00000024778	19	34365148	34402260	+	protein_coding	Fas
ENSMUSG00000068566	7	3289038	3299346	+	protein_coding	Myadm
ENSMUSG00000089929	9	89094046	89102665	+	protein_coding	Bcl2a1b
ENSMUSG00000001082	5	34976290	34979861	-	protein_coding	Mfsd10
ENSMUSG00000029570	5	141083294	141091497	+	protein_coding	Lfng
ENSMUSG00000053801	7	53080596	53086314	-	protein_coding	Grwd1
ENSMUSG00000073678	1	54529843	54532810	-	protein_coding	Pgap1
ENSMUSG00000028741	4	138903349	138908491	-	protein_coding	Mrto4
ENSMUSG00000028078	3	86590072	86724803	-	protein_coding	Dclk2
ENSMUSG00000027395	2	128926730	128952330	+	protein_coding	Polr1b
ENSMUSG00000021392	13	49748718	49774384	+	protein_coding	Nol8
ENSMUSG00000023262	9	106335326	106340567	-	protein_coding	Acy1
ENSMUSG00000039031	10	26492282	26638454	+	protein_coding	Arhgap18
ENSMUSG00000015396	13	43880475	43898499	+	protein_coding	Cd83
ENSMUSG00000076435	11	94418415	94463185	-	protein_coding	Acsf2
ENSMUSG00000020018	10	93045773	93052451	-	protein_coding	Snrpf
ENSMUSG00000028683	4	116692006	116759911	+	protein_coding	Eif2b3
ENSMUSG00000038670	7	51757087	51780039	-	protein_coding	Mybpc2
ENSMUSG00000026700	1	163325580	163348337	+	protein_coding	Tnfsf4
ENSMUSG00000020532	11	83943173	84215153	+	protein_coding	Acaca
ENSMUSG00000019726	13	13682675	13869710	+	protein_coding	Lyst
ENSMUSG00000025780	2	10075197	10178156	+	protein_coding	Itih5
ENSMUSG00000026443	1	134776849	134836582	+	protein_coding	Lrrn2
ENSMUSG00000018651	11	83892335	83943102	-	protein_coding	Tada2a
ENSMUSG00000050244	13	12487664	12530944	+	protein_coding	Heatr1
ENSMUSG00000029106	5	34916312	34974957	+	protein_coding	Add1
ENSMUSG00000005981	16	4039970	4078410	-	protein_coding	Trap1
ENSMUSG00000016356	2	180721239	180752245	+	protein_coding	Col20a1
ENSMUSG00000045165	7	134234949	134237563	+	protein_coding	AI467606
ENSMUSG00000030880	7	128061257	128090946	+	protein_coding	Polr3e
ENSMUSG00000000184	6	127075796	127101066	-	protein_coding	Ccnd2
ENSMUSG00000027324	2	118860525	118865505	+	protein_coding	Rpusd2
ENSMUSG00000001627	12	40928153	40975091	-	protein_coding	Ifrd1
ENSMUSG00000002658	17	57142825	57150723	-	protein_coding	Gtf2f1
ENSMUSG00000039145	2	5214502	5635561	-	protein_coding	Camk1d
ENSMUSG00000036781	9	66793892	66797323	+	protein_coding	Rps27l
ENSMUSG00000079677	9	20871963	20877958	-	protein_coding	Fdx1l
ENSMUSG00000022353	15	58772798	58913581	-	protein_coding	Mtss1
ENSMUSG00000028970	5	8798146	8866314	+	protein_coding	Abcb1b
ENSMUSG00000002068	7	38883002	38892553	-	protein_coding	Ccne1
ENSMUSG00000040296	4	40150805	40186861	-	protein_coding	Ddx58
ENSMUSG00000042354	14	31825619	31832275	-	protein_coding	Gnl3
ENSMUSG00000036533	17	79733364	79754431	-	protein_coding	Cdc42ep3
ENSMUSG00000026811	2	32455228	32476326	+	protein_coding	St6galnac6
ENSMUSG00000022519	16	4480215	4541816	-	protein_coding	Srl
ENSMUSG00000024334	17	34229284	34232179	+	protein_coding	H2-Oa
ENSMUSG00000017999	2	166840692	166860447	+	protein_coding	Ddx27
ENSMUSG00000074272	7	26246720	26262644	-	protein_coding	Ceacam1
ENSMUSG00000056144	7	111392970	111489207	+	protein_coding	Trim34a
ENSMUSG00000020692	11	82714269	82721913	-	protein_coding	Nle1
ENSMUSG00000010755	7	150743134	150785995	-	protein_coding	Cars
ENSMUSG00000037315	X	20002813	20097065	+	protein_coding	Phf16
ENSMUSG00000001348	9	21931174	21940190	-	protein_coding	Acp5
ENSMUSG00000020368	11	50107968	50139175	-	protein_coding	Canx
ENSMUSG00000002825	9	21216280	21224721	+	protein_coding	Qtrt1
ENSMUSG00000024844	19	5364640	5366645	-	protein_coding	Banf1
ENSMUSG00000038482	8	13338750	13378395	+	protein_coding	Tfdp1
ENSMUSG00000031068	7	144629330	144660277	+	protein_coding	Glrx3
ENSMUSG00000034543	11	3549496	3590480	+	protein_coding	Morc2a
ENSMUSG00000026238	1	88423310	88427273	+	protein_coding	Ptma
ENSMUSG00000036323	5	77403707	77428962	+	protein_coding	Srp72
ENSMUSG00000078695	11	97547139	97549935	+	protein_coding	Cisd3
ENSMUSG00000026167	1	74838089	74850753	+	protein_coding	Wnt10a
ENSMUSG00000027722	3	37318817	37478018	+	protein_coding	Spata5
ENSMUSG00000029178	5	65194627	65221368	+	protein_coding	Klf3
ENSMUSG00000035919	9	22280158	22692724	+	protein_coding	Bbs9
ENSMUSG00000046006	13	111142822	111147380	-	protein_coding	Gapt
ENSMUSG00000044024	18	38115212	38118833	+	protein_coding	Rell2
ENSMUSG00000027858	3	102538451	102576215	+	protein_coding	Tspan2
ENSMUSG00000079442	2	32442614	32455218	+	protein_coding	St6galnac4
ENSMUSG00000033544	1	158768692	158791209	+	protein_coding	Angptl1
ENSMUSG00000020328	11	40547168	40553548	+	protein_coding	Nudcd2
ENSMUSG00000019837	10	39969008	39977471	-	protein_coding	Gtf3c6
ENSMUSG00000031578	8	32269939	32279196	-	protein_coding	Mak16
ENSMUSG00000031453	8	13566949	13677603	-	protein_coding	Rasa3
ENSMUSG00000002007	X	71019743	71024264	+	protein_coding	Srpk3
ENSMUSG00000079339	19	34667377	34676458	-	protein_coding	Gm14446
ENSMUSG00000037376	2	132629942	132641791	-	protein_coding	Trmt6
ENSMUSG00000000884	16	18498860	18566772	+	protein_coding	Gnb1l
ENSMUSG00000034424	8	119505709	119517437	-	protein_coding	Gcsh
ENSMUSG00000031984	8	127363254	127386929	-	protein_coding	2810004N23Rik
ENSMUSG00000038214	10	43198945	43235202	+	protein_coding	Bend3
ENSMUSG00000028931	4	151764850	151851980	-	protein_coding	Kcnab2
ENSMUSG00000056214	18	80243633	80316379	+	protein_coding	Pard6g
ENSMUSG00000106350	NA	NA	NA	NA	NA	NA
ENSMUSG00000028914	4	141349526	141371891	+	protein_coding	Casp9
ENSMUSG00000004665	10	79451328	79458807	+	protein_coding	Cnn2
ENSMUSG00000024037	17	31631267	31656919	-	protein_coding	Wdr4
ENSMUSG00000037907	11	77283986	77303180	-	protein_coding	Ankrd13b
ENSMUSG00000027076	2	84667153	84670370	+	protein_coding	Timm10
ENSMUSG00000024359	18	35097067	35114011	-	protein_coding	Hspa9
ENSMUSG00000057069	13	12658149	12701793	+	protein_coding	Ero1lb
ENSMUSG00000049882	12	70678614	70684015	-	protein_coding	Mettl21d
ENSMUSG00000028394	4	62183682	62186102	-	protein_coding	Pole3
ENSMUSG00000007721	8	73392125	73397389	-	protein_coding	Ccdc124
ENSMUSG00000023971	17	46804406	46811236	-	protein_coding	Rrp36
ENSMUSG00000091228	11	93811132	93829607	-	protein_coding	Nme2
ENSMUSG00000014301	16	4616463	4624988	-	protein_coding	Pam16
ENSMUSG00000068184	13	108842783	108948819	-	protein_coding	Ndufaf2
ENSMUSG00000022517	16	4886251	4938296	+	protein_coding	Mgrn1
ENSMUSG00000062785	7	51846033	51860124	+	protein_coding	Kcnc3
ENSMUSG00000029507	5	111202685	111209678	-	protein_coding	Pus1
ENSMUSG00000029322	5	100982743	101001264	-	protein_coding	Plac8
ENSMUSG00000031802	9	13234580	13235956	+	protein_coding	Phxr4
ENSMUSG00000079033	8	72676676	72691387	+	protein_coding	Mef2b
ENSMUSG00000008373	7	3581586	3594088	+	protein_coding	Prpf31
ENSMUSG00000064264	7	25292105	25300701	+	protein_coding	Zfp428
ENSMUSG00000023963	17	43804373	43888380	+	protein_coding	Cyp39a1
ENSMUSG00000040269	3	8802145	8923918	-	protein_coding	Mrps28
ENSMUSG00000022636	16	52249108	52454187	-	protein_coding	Alcam
ENSMUSG00000041736	15	83394002	83404631	+	protein_coding	Tspo
ENSMUSG00000013236	17	56551850	56615906	-	protein_coding	Ptprs
ENSMUSG00000024132	17	24563627	24576261	+	protein_coding	Eci1
ENSMUSG00000049744	2	43604343	44251473	+	protein_coding	Arhgap15
ENSMUSG00000022876	16	75859037	76022515	-	protein_coding	Samsn1
ENSMUSG00000039640	11	120345926	120350379	+	protein_coding	Mrpl12
ENSMUSG00000059409	17	46819939	46841951	-	protein_coding	Ppp2r5d
ENSMUSG00000040354	10	126733276	126748842	-	protein_coding	Mars
ENSMUSG00000038845	11	95528270	95542087	+	protein_coding	Phb
ENSMUSG00000025817	2	5766064	5792941	+	protein_coding	Nudt5
ENSMUSG00000029415	5	92713035	92739050	-	protein_coding	Sdad1
ENSMUSG00000021983	14	60266367	60816016	-	protein_coding	Atp8a2
ENSMUSG00000032698	2	103798142	103822035	+	protein_coding	Lmo2
ENSMUSG00000039264	6	48715087	48716518	-	protein_coding	Gimap3
ENSMUSG00000046861	4	116667921	116677882	+	protein_coding	Hectd3
ENSMUSG00000036931	7	31206750	31213765	+	protein_coding	Nfkbid
ENSMUSG00000014453	14	63991673	64036024	-	protein_coding	Blk
ENSMUSG00000040010	8	124405051	124431594	-	protein_coding	Slc7a5
ENSMUSG00000024790	19	6116003	6118586	-	protein_coding	Sac3d1
ENSMUSG00000028138	3	138106056	138118463	+	protein_coding	Adh5
ENSMUSG00000027361	2	126453177	126502073	-	protein_coding	Gabpb1
ENSMUSG00000009108	3	107895706	107904350	+	protein_coding	Gnat2
ENSMUSG00000070056	8	36650851	36742503	+	protein_coding	Mfhas1
ENSMUSG00000019777	10	36694349	36721695	+	protein_coding	Hdac2
ENSMUSG00000025648	9	108893946	108934737	+	protein_coding	Pfkfb4
ENSMUSG00000079710	17	15101152	15115621	-	protein_coding	Gm3417
ENSMUSG00000031146	X	7245066	7248516	-	protein_coding	Plp2
ENSMUSG00000060098	8	108734835	108776694	+	protein_coding	Prmt7
ENSMUSG00000030505	7	57033715	57113635	+	protein_coding	Prmt3
ENSMUSG00000041245	X	147632682	147754695	+	processed_transcript	Wnk3-ps
