category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0050953	0.00235674126215618	0.999340276406796	11	47	sensory perception of light stimulus	BP	0.902534387553506	1
GO:0000003	0.00235876267413563	0.998584184564525	55	422	reproduction	BP	0.902534387553506	1
GO:0009888	0.00255129411757403	0.998349985501657	75	615	tissue development	BP	0.949975501893805	1
GO:0019205	0.00262616839180898	0.999611536997523	6	17	nucleobase-containing compound kinase activity	MF	0.949975501893805	1
GO:0043196	0.00266634408472382	0.999936373593802	3	4	varicosity	CC	0.949975501893805	1
GO:0048018	0.00270189186191644	0.998814348889078	22	131	receptor ligand activity	MF	0.949975501893805	1
GO:0001578	0.00292735091955389	0.999288717707401	9	35	microtubule bundle formation	BP	0.949975501893805	1
GO:0010212	0.00292735091955389	0.999288717707401	9	35	response to ionizing radiation	BP	0.949975501893805	1
GO:0030216	0.00292735091955389	0.999288717707401	9	35	keratinocyte differentiation	BP	0.949975501893805	1
GO:0005814	0.00321979473425334	0.999126338752896	10	42	centriole	CC	0.949975501893805	1
GO:0043525	0.00321979473425334	0.999126338752896	10	42	positive regulation of neuron apoptotic process	BP	0.949975501893805	1
GO:0043588	0.00325443726665419	0.998725513315749	17	93	skin development	BP	0.949975501893805	1
GO:0009209	0.0033202079175409	0.999748283603976	4	8	pyrimidine ribonucleoside triphosphate biosynthetic process	BP	0.949975501893805	1
GO:0032196	0.0033202079175409	0.999748283603976	4	8	transposition	BP	0.949975501893805	1
GO:0034587	0.0033202079175409	0.999748283603976	4	8	piRNA metabolic process	BP	0.949975501893805	1
GO:0048820	0.0033202079175409	0.999748283603976	4	8	hair follicle maturation	BP	0.949975501893805	1
GO:1902074	0.0033202079175409	0.999748283603976	4	8	response to salt	BP	0.949975501893805	1
GO:0031023	0.00334631447743969	0.999012960890542	11	49	microtubule organizing center organization	BP	0.949975501893805	1
GO:0005216	0.00351795951255885	0.998386733460156	23	142	ion channel activity	MF	0.981659829677932	1
GO:0015318	0.00356946929716423	0.998112768910789	33	228	inorganic molecular entity transmembrane transporter activity	MF	0.981659829677932	1
GO:0030546	0.00395547728135488	0.998202682412497	22	135	signaling receptor activator activity	MF	1	1
GO:0009147	0.00395697752435151	0.999502905789368	5	13	pyrimidine nucleoside triphosphate metabolic process	BP	1	1
GO:0045604	0.00395697752435151	0.999502905789368	5	13	regulation of epidermal cell differentiation	BP	1	1
GO:0016538	0.00397337564711824	0.999209391646336	7	24	cyclin-dependent protein serine/threonine kinase regulator activity	MF	1	1
GO:0015267	0.00407156723574119	0.998073502028471	24	152	channel activity	MF	1	1
GO:0022803	0.00407156723574119	0.998073502028471	24	152	passive transmembrane transporter activity	MF	1	1
GO:0000226	0.00429834541381488	0.997745837490505	31	213	microtubule cytoskeleton organization	BP	1	1
GO:0007017	0.00436115167165828	0.997514924201028	40	294	microtubule-based process	BP	1	1
GO:0042303	0.00438967281607283	0.998854091266539	9	37	molting cycle	BP	1	1
GO:0042633	0.00438967281607283	0.998854091266539	9	37	hair cycle	BP	1	1
GO:0016331	0.00461495023911534	0.998672264684181	10	44	morphogenesis of embryonic epithelium	BP	1	1
GO:0022402	0.00485557089849468	0.997071513818172	48	370	cell cycle process	BP	1	1
GO:0007601	0.00547104636322287	0.998381386195261	10	45	visual perception	BP	1	1
GO:0009148	0.00555657882341926	0.999475255714807	4	9	pyrimidine nucleoside triphosphate biosynthetic process	BP	1	1
GO:1901605	0.00569420683216916	0.997963584364484	13	67	alpha-amino acid metabolic process	BP	1	1
GO:0005732	0.00570829137394351	0.999195387404914	5	14	sno(s)RNA-containing ribonucleoprotein complex	CC	1	1
GO:0044848	0.00570829137394351	0.999195387404914	5	14	biological phase	BP	1	1
GO:0045682	0.00570829137394351	0.999195387404914	5	14	regulation of epidermis development	BP	1	1
GO:0008347	0.00596413856710498	0.998517916319084	8	32	glial cell migration	BP	1	1
GO:0001844	0.00622260658178769	0.999704497579985	3	5	protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	BP	1	1
GO:0004017	0.00622260658178769	0.999704497579985	3	5	adenylate kinase activity	MF	1	1
GO:0005549	0.00622260658178769	0.999704497579985	3	5	odorant binding	MF	1	1
GO:0006228	0.00622260658178769	0.999704497579985	3	5	UTP biosynthetic process	BP	1	1
GO:0010739	0.00622260658178769	0.999704497579985	3	5	positive regulation of protein kinase A signaling	BP	1	1
GO:0045836	0.00622260658178769	0.999704497579985	3	5	positive regulation of meiotic nuclear division	BP	1	1
GO:0060426	0.00622260658178769	0.999704497579985	3	5	lung vasculature development	BP	1	1
GO:0060856	0.00622260658178769	0.999704497579985	3	5	establishment of blood-brain barrier	BP	1	1
GO:2001269	0.00622260658178769	0.999704497579985	3	5	positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	BP	1	1
GO:0009991	0.00639225733677199	0.997021461649459	21	132	response to extracellular stimulus	BP	1	1
GO:0009161	0.00645380376301022	0.9985696797581	7	26	ribonucleoside monophosphate metabolic process	BP	1	1
GO:0071479	0.00652274153367265	0.998779628743789	6	20	cellular response to ionizing radiation	BP	1	1
GO:0031099	0.00730646476498638	0.997572604751754	11	54	regeneration	BP	1	1
GO:0005125	0.00735498750578913	0.99727633978217	13	69	cytokine activity	MF	1	1
GO:0022890	0.00780619228512757	0.995858470463227	28	195	inorganic cation transmembrane transporter activity	MF	1	1
GO:0006221	0.00794217048995264	0.998759466858075	5	15	pyrimidine nucleotide biosynthetic process	BP	1	1
GO:0009069	0.00794217048995264	0.998759466858075	5	15	serine family amino acid metabolic process	BP	1	1
GO:0016776	0.00794217048995264	0.998759466858075	5	15	phosphotransferase activity, phosphate group as acceptor	MF	1	1
GO:0046033	0.00794217048995264	0.998759466858075	5	15	AMP metabolic process	BP	1	1
GO:0072528	0.00794217048995264	0.998759466858075	5	15	pyrimidine-containing compound biosynthetic process	BP	1	1
GO:0003339	0.00800495943994617	1	2	2	regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	BP	1	1
GO:0003406	0.00800495943994617	1	2	2	retinal pigment epithelium development	BP	1	1
GO:0003995	0.00800495943994617	1	2	2	acyl-CoA dehydrogenase activity	MF	1	1
GO:0006642	0.00800495943994617	1	2	2	triglyceride mobilization	BP	1	1
GO:0007168	0.00800495943994617	1	2	2	receptor guanylyl cyclase signaling pathway	BP	1	1
GO:0009092	0.00800495943994617	1	2	2	homoserine metabolic process	BP	1	1
GO:0010868	0.00800495943994617	1	2	2	negative regulation of triglyceride biosynthetic process	BP	1	1
GO:0019346	0.00800495943994617	1	2	2	transsulfuration	BP	1	1
GO:0019841	0.00800495943994617	1	2	2	retinol binding	MF	1	1
GO:0031999	0.00800495943994617	1	2	2	negative regulation of fatty acid beta-oxidation	BP	1	1
GO:0032053	0.00800495943994617	1	2	2	ciliary basal body organization	BP	1	1
GO:0035902	0.00800495943994617	1	2	2	response to immobilization stress	BP	1	1
GO:0035905	0.00800495943994617	1	2	2	ascending aorta development	BP	1	1
GO:0042262	0.00800495943994617	1	2	2	DNA protection	BP	1	1
GO:0042637	0.00800495943994617	1	2	2	catagen	BP	1	1
GO:0043152	0.00800495943994617	1	2	2	induction of bacterial agglutination	BP	1	1
GO:0046083	0.00800495943994617	1	2	2	adenine metabolic process	BP	1	1
GO:0046084	0.00800495943994617	1	2	2	adenine biosynthetic process	BP	1	1
GO:0046340	0.00800495943994617	1	2	2	diacylglycerol catabolic process	BP	1	1
GO:0048818	0.00800495943994617	1	2	2	positive regulation of hair follicle maturation	BP	1	1
GO:0048819	0.00800495943994617	1	2	2	regulation of hair follicle maturation	BP	1	1
GO:0052890	0.00800495943994617	1	2	2	oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor	MF	1	1
GO:0060539	0.00800495943994617	1	2	2	diaphragm development	BP	1	1
GO:0060712	0.00800495943994617	1	2	2	spongiotrophoblast layer development	BP	1	1
GO:0072108	0.00800495943994617	1	2	2	positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	BP	1	1
GO:0072385	0.00800495943994617	1	2	2	minus-end-directed organelle transport along microtubule	BP	1	1
GO:1990716	0.00800495943994617	1	2	2	axonemal central apparatus	CC	1	1
GO:2000380	0.00800495943994617	1	2	2	regulation of mesoderm development	BP	1	1
GO:0008324	0.00844363544786509	0.995385635988053	30	214	cation transmembrane transporter activity	MF	1	1
GO:0008173	0.00845531718112731	0.998308697584964	6	21	RNA methyltransferase activity	MF	1	1
GO:0009130	0.00861260186643121	0.999027455741099	4	10	pyrimidine nucleoside monophosphate biosynthetic process	BP	1	1
GO:0009208	0.00861260186643121	0.999027455741099	4	10	pyrimidine ribonucleoside triphosphate metabolic process	BP	1	1
GO:0031571	0.00861260186643121	0.999027455741099	4	10	mitotic G1 DNA damage checkpoint signaling	BP	1	1
GO:0044819	0.00861260186643121	0.999027455741099	4	10	mitotic G1/S transition checkpoint signaling	BP	1	1
GO:1901797	0.00861260186643121	0.999027455741099	4	10	negative regulation of signal transduction by p53 class mediator	BP	1	1
GO:0060429	0.00867587810890825	0.994609437931405	47	372	epithelium development	BP	1	1
GO:0051726	0.00877432514179761	0.994695650207031	42	325	regulation of cell cycle	BP	1	1
GO:0001942	0.00878316708849887	0.997642495298806	8	34	hair follicle development	BP	1	1
GO:0022404	0.00878316708849887	0.997642495298806	8	34	molting cycle process	BP	1	1
GO:0022405	0.00878316708849887	0.997642495298806	8	34	hair cycle process	BP	1	1
GO:2000243	0.00878316708849887	0.997642495298806	8	34	positive regulation of reproductive process	BP	1	1
GO:0015081	0.0087978661844697	0.997183318768434	10	48	sodium ion transmembrane transporter activity	MF	1	1
GO:0005261	0.0088990914543391	0.995894657967411	19	119	cation channel activity	MF	1	1
GO:0098773	0.0105182237311492	0.997072649080446	8	35	skin epidermis development	BP	1	1
GO:0051783	0.0105316157110925	0.996780205265747	9	42	regulation of nuclear division	BP	1	1
GO:0005815	0.0105566948626394	0.993898572041414	34	254	microtubule organizing center	CC	1	1
GO:0031668	0.0106576418651539	0.995512942839883	15	88	cellular response to extracellular stimulus	BP	1	1
GO:0045740	0.0107175252494295	0.998163609980897	5	16	positive regulation of DNA replication	BP	1	1
GO:0048730	0.0107175252494295	0.998163609980897	5	16	epidermis morphogenesis	BP	1	1
GO:0006220	0.010766503116583	0.997707845313421	6	22	pyrimidine nucleotide metabolic process	BP	1	1
GO:0007186	0.0107684913542474	0.993877458080095	32	236	G protein-coupled receptor signaling pathway	BP	1	1
GO:0009913	0.0110315374852207	0.996090982277765	11	57	epidermal cell differentiation	BP	1	1
GO:0030856	0.0110315374852207	0.996090982277765	11	57	regulation of epithelial cell differentiation	BP	1	1
GO:0007283	0.0114605950664223	0.994338144546155	21	139	spermatogenesis	BP	1	1
GO:0009071	0.0116215733730721	0.999176360209497	3	6	serine family amino acid catabolic process	BP	1	1
GO:0016742	0.0116215733730721	0.999176360209497	3	6	hydroxymethyl-, formyl- and related transferase activity	MF	1	1
GO:0036156	0.0116215733730721	0.999176360209497	3	6	inner dynein arm	CC	1	1
GO:0036159	0.0116215733730721	0.999176360209497	3	6	inner dynein arm assembly	BP	1	1
GO:0042481	0.0116215733730721	0.999176360209497	3	6	regulation of odontogenesis	BP	1	1
GO:0046051	0.0116215733730721	0.999176360209497	3	6	UTP metabolic process	BP	1	1
GO:1902337	0.0116215733730721	0.999176360209497	3	6	regulation of apoptotic process involved in morphogenesis	BP	1	1
GO:1904748	0.0116215733730721	0.999176360209497	3	6	regulation of apoptotic process involved in development	BP	1	1
GO:2000271	0.0116215733730721	0.999176360209497	3	6	positive regulation of fibroblast apoptotic process	BP	1	1
GO:0030308	0.0118111606399991	0.995328552544843	13	73	negative regulation of cell growth	BP	1	1
GO:0045165	0.0118111606399991	0.995328552544843	13	73	cell fate commitment	BP	1	1
GO:0009062	0.0121102092454458	0.996908962860877	7	29	fatty acid catabolic process	BP	1	1
GO:0019953	0.012124797710292	0.993041285196392	32	238	sexual reproduction	BP	1	1
GO:0015276	0.01229555212152	0.996132144061634	9	43	ligand-gated ion channel activity	MF	1	1
GO:0004888	0.012341195975855	0.992558732988838	38	294	transmembrane signaling receptor activity	MF	1	1
GO:0009129	0.0125897587865677	0.998347422743808	4	11	pyrimidine nucleoside monophosphate metabolic process	BP	1	1
GO:0009220	0.0125897587865677	0.998347422743808	4	11	pyrimidine ribonucleotide biosynthetic process	BP	1	1
GO:0046128	0.0125897587865677	0.998347422743808	4	11	purine ribonucleoside metabolic process	BP	1	1
GO:0060561	0.0125897587865677	0.998347422743808	4	11	apoptotic process involved in morphogenesis	BP	1	1
GO:0006974	0.0132432408274714	0.992211702698028	34	258	cellular response to DNA damage stimulus	BP	1	1
GO:0015079	0.0134910796410799	0.995355829077336	10	51	potassium ion transmembrane transporter activity	MF	1	1
GO:0001510	0.0134917153271908	0.996954931480139	6	23	RNA methylation	BP	1	1
GO:0090200	0.0140889239401048	0.997373831608191	5	17	positive regulation of release of cytochrome c from mitochondria	BP	1	1
GO:0032886	0.0143636752190604	0.993716821423219	15	91	regulation of microtubule-based process	BP	1	1
GO:0001843	0.0146114762358304	0.996108239437247	7	30	neural tube closure	BP	1	1
GO:0007498	0.0146114762358304	0.996108239437247	7	30	mesoderm development	BP	1	1
GO:0014020	0.0146114762358304	0.996108239437247	7	30	primary neural tube formation	BP	1	1
GO:0030317	0.0146114762358304	0.996108239437247	7	30	flagellated sperm motility	BP	1	1
GO:0000079	0.0147305359106908	0.995610327183927	8	37	regulation of cyclin-dependent protein serine/threonine kinase activity	BP	1	1
GO:0001838	0.0147305359106908	0.995610327183927	8	37	embryonic epithelial tube formation	BP	1	1
GO:0072329	0.0147305359106908	0.995610327183927	8	37	monocarboxylic acid catabolic process	BP	1	1
GO:0044770	0.0159773841477933	0.991554934289974	23	161	cell cycle phase transition	BP	1	1
GO:0007098	0.0164704434518672	0.994528953636777	9	45	centrosome cycle	BP	1	1
GO:0022834	0.0164704434518672	0.994528953636777	9	45	ligand-gated channel activity	MF	1	1
GO:0033628	0.0166644952205484	0.996026624352882	6	24	regulation of cell adhesion mediated by integrin	BP	1	1
GO:1901607	0.0166644952205484	0.996026624352882	6	24	alpha-amino acid biosynthetic process	BP	1	1
GO:0005267	0.0172434223479175	0.994692788228909	8	38	potassium channel activity	MF	1	1
GO:0008033	0.0172434223479175	0.994692788228909	8	38	tRNA processing	BP	1	1
GO:0008584	0.0172434223479175	0.994692788228909	8	38	male gonad development	BP	1	1
GO:0046546	0.0172434223479175	0.994692788228909	8	38	development of primary male sexual characteristics	BP	1	1
GO:0002027	0.0174604328913267	0.995156375154442	7	31	regulation of heart rate	BP	1	1
GO:0005249	0.0174604328913267	0.995156375154442	7	31	voltage-gated potassium channel activity	MF	1	1
GO:0060294	0.0174604328913267	0.995156375154442	7	31	cilium movement involved in cell motility	BP	1	1
GO:0060606	0.0174604328913267	0.995156375154442	7	31	tube closure	BP	1	1
GO:0097722	0.0174604328913267	0.995156375154442	7	31	sperm motility	BP	1	1
GO:0006144	0.0175715115933911	0.997373746827079	4	12	purine nucleobase metabolic process	BP	1	1
GO:0008569	0.0175715115933911	0.997373746827079	4	12	minus-end-directed microtubule motor activity	MF	1	1
GO:0095500	0.0175715115933911	0.997373746827079	4	12	acetylcholine receptor signaling pathway	BP	1	1
GO:1905145	0.0175715115933911	0.997373746827079	4	12	cellular response to acetylcholine	BP	1	1
GO:0001707	0.0181055477886933	0.996354298066225	5	18	mesoderm formation	BP	1	1
GO:0045332	0.0181055477886933	0.996354298066225	5	18	phospholipid translocation	BP	1	1
GO:0006520	0.018997848398989	0.991379867172462	15	94	cellular amino acid metabolic process	BP	1	1
GO:0004181	0.0189982817852893	0.998214037843217	3	7	metallocarboxypeptidase activity	MF	1	1
GO:0006241	0.0189982817852893	0.998214037843217	3	7	CTP biosynthetic process	BP	1	1
GO:0006544	0.0189982817852893	0.998214037843217	3	7	glycine metabolic process	BP	1	1
GO:0006977	0.0189982817852893	0.998214037843217	3	7	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	BP	1	1
GO:0006978	0.0189982817852893	0.998214037843217	3	7	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	BP	1	1
GO:0007028	0.0189982817852893	0.998214037843217	3	7	cytoplasm organization	BP	1	1
GO:0009113	0.0189982817852893	0.998214037843217	3	7	purine nucleobase biosynthetic process	BP	1	1
GO:0036342	0.0189982817852893	0.998214037843217	3	7	post-anal tail morphogenesis	BP	1	1
GO:0042772	0.0189982817852893	0.998214037843217	3	7	DNA damage response, signal transduction resulting in transcription	BP	1	1
GO:0061029	0.0189982817852893	0.998214037843217	3	7	eyelid development in camera-type eye	BP	1	1
GO:0072202	0.0189982817852893	0.998214037843217	3	7	cell differentiation involved in metanephros development	BP	1	1
GO:0048232	0.0193366358940393	0.989910337689653	21	146	male gamete generation	BP	1	1
GO:0071496	0.0199629827875052	0.990616464287885	16	103	cellular response to external stimulus	BP	1	1
GO:1904029	0.0200503725300358	0.993633509607791	8	39	regulation of cyclin-dependent protein kinase activity	BP	1	1
GO:0005903	0.0202593016939715	0.992082724210883	11	62	brush border	CC	1	1
GO:0009124	0.0203160218911204	0.994898672569596	6	25	nucleoside monophosphate biosynthetic process	BP	1	1
GO:0051298	0.0203160218911204	0.994898672569596	6	25	centrosome duplication	BP	1	1
GO:0001841	0.0206793953021088	0.994035861432895	7	32	neural tube formation	BP	1	1
GO:0009063	0.0206793953021088	0.994035861432895	7	32	cellular amino acid catabolic process	BP	1	1
GO:0031526	0.0206793953021088	0.994035861432895	7	32	brush border membrane	CC	1	1
GO:1901293	0.0207251562645199	0.989957264487416	17	112	nucleoside phosphate biosynthetic process	BP	1	1
GO:0034470	0.0207419669076063	0.989095350187362	21	147	ncRNA processing	BP	1	1
GO:1903047	0.0211424885560324	0.987302611503245	32	248	mitotic cell cycle process	BP	1	1
GO:0071478	0.0223898082100115	0.991581677766151	10	55	cellular response to radiation	BP	1	1
GO:0044282	0.02244977411649	0.989013862193664	17	113	small molecule catabolic process	BP	1	1
GO:0000062	0.02258626666818	0.999285694174171	2	3	fatty-acyl-CoA binding	MF	1	1
GO:0000172	0.02258626666818	0.999285694174171	2	3	ribonuclease MRP complex	CC	1	1
GO:0001520	0.02258626666818	0.999285694174171	2	3	outer dense fiber	CC	1	1
GO:0001710	0.02258626666818	0.999285694174171	2	3	mesodermal cell fate commitment	BP	1	1
GO:0001777	0.02258626666818	0.999285694174171	2	3	T cell homeostatic proliferation	BP	1	1
GO:0003337	0.02258626666818	0.999285694174171	2	3	mesenchymal to epithelial transition involved in metanephros morphogenesis	BP	1	1
GO:0004465	0.02258626666818	0.999285694174171	2	3	lipoprotein lipase activity	MF	1	1
GO:0005003	0.02258626666818	0.999285694174171	2	3	ephrin receptor activity	MF	1	1
GO:0005005	0.02258626666818	0.999285694174171	2	3	transmembrane-ephrin receptor activity	MF	1	1
GO:0005034	0.02258626666818	0.999285694174171	2	3	osmosensor activity	MF	1	1
GO:0006565	0.02258626666818	0.999285694174171	2	3	L-serine catabolic process	BP	1	1
GO:0007501	0.02258626666818	0.999285694174171	2	3	mesodermal cell fate specification	BP	1	1
GO:0010957	0.02258626666818	0.999285694174171	2	3	negative regulation of vitamin D biosynthetic process	BP	1	1
GO:0016918	0.02258626666818	0.999285694174171	2	3	retinal binding	MF	1	1
GO:0021984	0.02258626666818	0.999285694174171	2	3	adenohypophysis development	BP	1	1
GO:0030718	0.02258626666818	0.999285694174171	2	3	germ-line stem cell population maintenance	BP	1	1
GO:0033235	0.02258626666818	0.999285694174171	2	3	positive regulation of protein sumoylation	BP	1	1
GO:0042487	0.02258626666818	0.999285694174171	2	3	regulation of odontogenesis of dentin-containing tooth	BP	1	1
GO:0042494	0.02258626666818	0.999285694174171	2	3	detection of bacterial lipoprotein	BP	1	1
GO:0043923	0.02258626666818	0.999285694174171	2	3	positive regulation by host of viral transcription	BP	1	1
GO:0045617	0.02258626666818	0.999285694174171	2	3	negative regulation of keratinocyte differentiation	BP	1	1
GO:0045657	0.02258626666818	0.999285694174171	2	3	positive regulation of monocyte differentiation	BP	1	1
GO:0046102	0.02258626666818	0.999285694174171	2	3	inosine metabolic process	BP	1	1
GO:0050291	0.02258626666818	0.999285694174171	2	3	sphingosine N-acyltransferase activity	MF	1	1
GO:0050667	0.02258626666818	0.999285694174171	2	3	homocysteine metabolic process	BP	1	1
GO:0060046	0.02258626666818	0.999285694174171	2	3	regulation of acrosome reaction	BP	1	1
GO:0060231	0.02258626666818	0.999285694174171	2	3	mesenchymal to epithelial transition	BP	1	1
GO:0060536	0.02258626666818	0.999285694174171	2	3	cartilage morphogenesis	BP	1	1
GO:0061026	0.02258626666818	0.999285694174171	2	3	cardiac muscle tissue regeneration	BP	1	1
GO:0061205	0.02258626666818	0.999285694174171	2	3	paramesonephric duct development	BP	1	1
GO:0070235	0.02258626666818	0.999285694174171	2	3	regulation of activation-induced cell death of T cells	BP	1	1
GO:0070852	0.02258626666818	0.999285694174171	2	3	cell body fiber	CC	1	1
GO:0072215	0.02258626666818	0.999285694174171	2	3	regulation of metanephros development	BP	1	1
GO:0090651	0.02258626666818	0.999285694174171	2	3	apical cytoplasm	CC	1	1
GO:0098966	0.02258626666818	0.999285694174171	2	3	perisynaptic extracellular matrix	CC	1	1
GO:0099535	0.02258626666818	0.999285694174171	2	3	synapse-associated extracellular matrix	CC	1	1
GO:0140545	0.02258626666818	0.999285694174171	2	3	ATP-dependent protein disaggregase activity	MF	1	1
GO:1900739	0.02258626666818	0.999285694174171	2	3	regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	BP	1	1
GO:1900740	0.02258626666818	0.999285694174171	2	3	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	BP	1	1
GO:1904158	0.02258626666818	0.999285694174171	2	3	axonemal central apparatus assembly	BP	1	1
GO:1904238	0.02258626666818	0.999285694174171	2	3	pericyte cell differentiation	BP	1	1
GO:1904970	0.02258626666818	0.999285694174171	2	3	brush border assembly	BP	1	1
GO:1990410	0.02258626666818	0.999285694174171	2	3	adrenomedullin receptor signaling pathway	BP	1	1
GO:1990511	0.02258626666818	0.999285694174171	2	3	piRNA biosynthetic process	BP	1	1
GO:1990760	0.02258626666818	0.999285694174171	2	3	osmolarity-sensing cation channel activity	MF	1	1
GO:2000344	0.02258626666818	0.999285694174171	2	3	positive regulation of acrosome reaction	BP	1	1
GO:2000673	0.02258626666818	0.999285694174171	2	3	positive regulation of motor neuron apoptotic process	BP	1	1
GO:0005230	0.0228103754095001	0.995067969549566	5	19	extracellular ligand-gated ion channel activity	MF	1	1
GO:0009112	0.0228103754095001	0.995067969549566	5	19	nucleobase metabolic process	BP	1	1
GO:0009167	0.0228103754095001	0.995067969549566	5	19	purine ribonucleoside monophosphate metabolic process	BP	1	1
